"","State","totalPopulation","White","WhitePercent","whitePercentMargin","Black_or_African American","Black_percent","Black_percent_margin","Asian","Asian_percent","Asian_percent_Magin","HispanicLatino(any_race)","Hispanic_percentage","Hispanic_percentage_Margin","multipleRaces","multiple_percentage","multiple_percentage_margin","WhitePercentMargin"
"1","Alabama",4903185,3409415,0.695,0.002,1364474,0.278,0.001,87434,0.018,0.001,219296,0.045,0.001,91522,0.019,0.001,0.002
"2","Alaska",731545,521962,0.714,0.008,34639,0.047,0.003,61551,0.084,0.002,52548,0.072,0.001,57476,0.079,0.007,0.008
"3","Arizona",7278717,5947783,0.817,0.003,434612,0.06,0.001,331649,0.046,0.001,2310592,0.317,NA,280574,0.039,0.002,0.003
"4","Arkansas",3017804,2391900,0.793,0.003,502913,0.167,0.002,59114,0.02,0.001,231951,0.077,0.001,83603,0.028,0.002,0.003
"5","California",39512223,25133071,0.636,0.002,2782446,0.07,0.001,6762404,0.171,0.001,15574882,0.394,NA,1978145,0.05,0.001,0.002
"6","Colorado",5758736,5029314,0.873,0.003,313737,0.054,0.001,263806,0.046,0.001,1256903,0.218,NA,232943,0.04,0.2,0.003
"7","Connecticut",3565287,2772139,0.778,0.004,470791,0.132,0.002,198207,0.056,0.001,600954,0.169,NA,131068,0.037,0.003,0.004
"8","Delaware",973764,686096,0.705,0.007,237780,0.244,0.002,45365,0.047,0.001,93390,0.096,NA,30167,0.031,0.004,0.007
"9","District of Columbia",705749,318457,0.451,0.008,333312,0.472,0.005,38077,0.054,0.002,79477,0.113,NA,23321,0.033,0.005,0.008
"10","Florida",21477737,16553934,0.771,0.002,3772874,0.176,0.001,787637,0.037,0.001,5663629,0.264,0.001,631552,0.029,0.1,0.002
"11","Georgia",10617423,6363129,0.599,0.002,3556697,0.335,0.001,523612,0.049,0.001,1042642,0.098,0.001,284421,0.027,0.001,0.002
"12","Hawaii",1415872,582436,0.411,0.007,49041,0.035,0.002,801987,0.566,0.005,150864,0.107,NA,316468,0.224,0.008,0.007
"13","Idaho",1787065,1652946,0.925,0.005,21666,0.012,0.001,44416,0.025,0.002,229494,0.128,NA,58700,0.033,0.003,0.005
"14","Illinois",12671821,9353507,0.738,0.002,1951681,0.154,0.001,834455,0.066,0.001,2216300,0.175,0.001,351933,0.028,0.001,0.002
"15","Indiana",6732219,5732778,0.852,0.002,740150,0.11,0.001,206288,0.031,0.001,485554,0.072,0.001,174283,0.026,0.002,0.002
"16","Iowa",3155070,2900114,0.919,0.002,162710,0.052,0.001,95994,0.03,0.001,197482,0.063,0.001,68248,0.022,0.002,0.002
"17","Kansas",2913314,2537764,0.871,0.003,214714,0.074,0.001,108624,0.037,0.001,354804,0.122,0.001,108771,0.037,0.002,0.003
"18","Kentucky",4467673,3971124,0.889,0.002,424716,0.095,0.001,94285,0.021,0.001,168017,0.038,0.001,104158,0.023,0.002,0.002
"19","Louisiana",4648794,2954143,0.635,0.002,1554297,0.334,0.002,99072,0.021,0.001,250203,0.054,0.001,93067,0.02,0.002,0.002
"20","Maine",1344212,1289759,0.959,0.003,32313,0.024,0.001,23516,0.017,0.001,23067,0.017,0.001,28536,0.021,0.003,0.003
"21","Maryland",6045680,3467089,0.573,0.003,1946932,0.322,0.001,463258,0.077,0.001,643171,0.106,0.001,205558,0.034,0.002,0.003
"22","Massachusetts",6892503,5525268,0.802,0.003,684786,0.099,0.002,548125,0.08,0.001,853735,0.124,0.001,250459,0.036,0.002,0.003
"23","Michigan",9986857,8091386,0.81,0.002,1528779,0.153,0.001,394895,0.04,0.001,525973,0.053,0.001,302340,0.03,0.001,0.002
"24","Minnesota",5639632,4800334,0.851,0.002,454116,0.081,0.001,333624,0.059,0.001,314217,0.056,0.001,186583,0.033,0.002,0.002
"25","Mississippi",2976149,1766642,0.594,0.003,1156497,0.389,0.002,40448,0.014,0.001,90143,0.03,0.001,43664,0.015,0.002,0.003
"26","Missouri",6137428,5184435,0.845,0.002,792197,0.129,0.001,162980,0.027,0.001,264334,0.043,0.001,172253,0.028,0.001,0.002
"27","Montana",1068778,973711,0.911,0.004,14608,0.014,0.002,17354,0.016,0.002,40328,0.038,0.001,36517,0.034,0.003,0.004
"28","Nebraska",1934408,1715918,0.887,0.004,117408,0.061,0.001,62532,0.032,0.001,219472,0.113,0.001,53383,0.028,0.003,0.004
"29","Nevada",3080156,2105913,0.684,0.006,347489,0.113,0.002,323433,0.105,0.001,900599,0.292,NA,144208,0.047,0.003,0.006
"30","New Hampshire",1359711,1287518,0.947,0.003,30557,0.022,0.001,47854,0.035,0.001,54182,0.04,0.001,30205,0.022,0.003,0.003
"31","New Jersey",8882190,6174937,0.695,0.003,1339574,0.151,0.001,953119,0.107,0.001,1856845,0.209,NA,264429,0.03,0.002,0.003
"32","New Mexico",2096829,1610185,0.768,0.007,70254,0.034,0.003,53384,0.025,0.002,1032950,0.493,NA,72444,0.035,0.003,0.007
"33","New York",19453561,12796656,0.658,0.002,3424002,0.176,0.001,1889234,0.097,0.001,3749257,0.193,0.001,649298,0.033,0.001,0.002
"34","North Carolina",10488084,7393223,0.705,0.002,2424132,0.231,0.001,382201,0.036,0.001,1022995,0.098,0.001,295137,0.028,0.002,0.002
"35","North Dakota",762062,677907,0.89,0.005,30067,0.039,0.004,16308,0.021,0.002,30486,0.04,0.002,25145,0.033,0.005,0.005
"36","Ohio",11689100,9765556,0.835,0.001,1686729,0.144,0.001,348025,0.03,0.001,467589,0.04,0.001,343341,0.029,0.001,0.001
"37","Oklahoma",3956971,3135648,0.792,0.003,365883,0.092,0.001,114316,0.029,0.001,438106,0.111,NA,300165,0.076,0.002,0.003
"38","Oregon",4217737,3717165,0.881,0.004,124502,0.03,0.001,263017,0.062,0.001,566839,0.134,NA,207325,0.049,0.003,0.004
"39","Pennsylvania",12801989,10483806,0.819,0.002,1649737,0.129,0.001,536892,0.042,0.001,997830,0.078,0.001,332708,0.026,0.001,0.002
"40","Rhode Island",1059361,869057,0.82,0.009,101579,0.096,0.006,48037,0.042,0.003,172643,0.163,NA,44600,0.042,0.005,0.009
"41","South Carolina",5148714,3544015,0.688,0.003,1441530,0.28,0.001,111414,0.022,0.001,298478,0.058,0.001,125531,0.024,0.002,0.003
"42","South Dakota",884659,766781,0.867,0.004,26679,3,0.002,14395,0.016,0.003,33018,0.037,0.002,24698,0.028,0.004,0.004
"43","Tennessee",6829174,5413418,0.793,0.002,1228973,0.18,0.001,164002,0.024,0.001,389127,0.057,0.001,156246,0.023,0.001,0.002
"44","Texas",28995881,21995420,0.759,0.002,3908287,0.135,0.001,1678495,0.058,0.001,11524842,0.397,0.001,835927,0.029,0.001,0.002
"45","Utah",3205958,2893306,0.902,0.004,61766,0.019,0.001,118169,0.037,0.001,462054,0.144,NA,103574,0.032,0.003,0.004
"46","Vermont",623989,600353,0.962,0.003,13042,0.021,0.002,15149,0.024,0.002,12408,0.02,0.001,15367,0.025,0.004,0.003
"47","Virginia",8535519,5994267,0.702,0.002,1820891,0.213,0.001,690204,0.081,0.001,828154,0.097,0.001,320232,0.038,0.002,0.002
"48","Washington",7614893,6056387,0.795,0.002,429718,0.056,0.001,883108,0.116,0.001,991723,0.13,NA,453495,0.06,0.002,0.002
"49","West Virginia",1792147,1697080,0.947,0.002,86426,0.048,0.002,20033,0.011,0.001,26823,0.015,0.001,32250,0.018,0.002,0.002
"50","Wisconsin",5822434,5088607,0.874,0.002,438719,0.075,0.001,201512,0.035,0.001,412769,0.071,0.001,137034,0.024,0.001,0.002
"51","Wyoming",578759,540317,0.934,0.005,12428,0.021,0.003,8673,0.015,0.004,58607,0.101,NA,15823,0.027,0.005,0.005
