"","state_name","Total","White","Black","Hispanic","Asian","Two or More Races"
"1","United States Average",0,0,0,0,0,0
"2","District of Columbia",26.6,54.6,6,35,25.5,41.5
"3","Alabama",-6.9,-8.5,-2.8,-0.700000000000003,0,-3.9
"4","Alaska",-2.1,0.5,-0.899999999999999,11.2,-25.6,-6.3
"5","Arizona",-3.1,-0.399999999999999,4.7,-3.4,4,-3
"6","Arkansas",-10,-12.2,-5,-8.3,0,-8
"7","California",1.8,8.3,4.8,-3.3,-1.2,7.2
"8","Colorado",9.59999999999999,12.3,4.3,0.899999999999999,-0.699999999999996,8.40000000000001
"9","Connecticut",6.9,8.1,0.699999999999999,1.1,9.7,6.8
"10","Delaware",0.799999999999997,0.200000000000003,2.1,-5.7,11.6,4.6
"11","Florida",-2.5,-2.3,-3.3,7.9,-5,-2.9
"12","Georgia",-0.700000000000003,-0.5,2.1,1.3,2,4.2
"13","Hawaii",-0.200000000000003,9.6,9.8,4.6,-21.3,-10.8
"14","Idaho",-4.1,-6.5,-3.3,-6,3.8,13.2
"15","Illinois",2.8,3.3,0.300000000000001,-0.800000000000001,10.4,5.5
"16","Indiana",-6.1,-9.2,-2.5,-0.800000000000001,4.4,-8.8
"17","Iowa",-3.6,-6.3,-9.2,-3.7,-5.1,-8.9
"18","Kansas",0,-0.699999999999996,-0.800000000000001,-5.7,-7.5,-12.6
"19","Kentucky",-7.9,-11.7,-2.4,2.2,6.2,-7.5
"20","Louisiana",-8.2,-8.2,-5.3,0,-11.6,-10.3
"21","Maine",-0.300000000000004,-3.9,11.5,24,-20.7,-9.3
"22","Maryland",7.7,9.6,8.5,3.9,6.8,7.8
"23","Massachusetts",11.8,11.4,5.9,2.8,7.4,16.4
"24","Michigan",-3,-5.6,-4.5,2.4,9.4,-6.1
"25","Minnesota",4.09999999999999,2,-2.4,4.4,-10.3,-4.3
"26","Mississippi",-11.2,-11.2,-7.1,-6.4,-9.2,-4.09999999999999
"27","Missouri",-3,-5.9,-2.7,3.7,8.4,-1.09999999999999
"28","Montana",-0.200000000000003,-3,NA,8.1,20.3,-2.09999999999999
"29","Nebraska",0.599999999999994,-0.699999999999996,-0.899999999999999,-4.1,-7.3,-5.8
"30","Nevada",-7.5,-6,-4,-7,-12.7,-11
"31","New Hampshire",4.9,1,19.9,7.9,4.7,0
"32","New Jersey",8,9,2.6,3.4,15.4,7.8
"33","New Mexico",-5,4.4,7.3,-0.200000000000003,-3.5,-3.9
"34","New York",4.7,7.7,2.6,3.5,-8,3.6
"35","North Carolina",-1,-0.899999999999999,-0.800000000000001,-0.400000000000002,3.2,-1.09999999999999
"36","North Dakota",-3.8,-5.8,7.5,-5.2,-24.4,-23.7
"37","Ohio",-3.8,-6.3,-5.7,2.7,6.3,-9.7
"38","Oklahoma",-7.1,-8.4,-1.4,-5.1,-12.1,-10.7
"39","Oregon",1,-1.1,3.9,-1.4,-2.9,-3.4
"40","Pennsylvania",-0.700000000000003,-2.8,-1.5,-1.1,0.800000000000004,-5.6
"41","Rhode Island",1.8,1.6,3.5,-4.2,1.1,5.8
"42","South Carolina",-3.8,-2.5,-5.2,-0.5,-6.5,-7.1
"43","South Dakota",-3.3,-5.2,-5.5,7.6,-19.7,-18.1
"44","Tennessee",-4.4,-6.7,-1,-0.100000000000001,0.5,-6.6
"45","Texas",-2.4,2.6,2.9,-1.5,4.8,3.6
"46","Utah",2,1.4,-2.8,-1.7,-0.299999999999997,-1.8
"47","Vermont",6.09999999999999,2.3,NA,15.6,-6.8,14.4
"48","Virginia",6.59999999999999,6.3,1.9,9.2,6.7,4.8
"49","Washington",3.7,1,2,1.5,0.700000000000003,-2
"50","West Virginia",-11.7,-15.5,-9.3,4,9.4,-11.1
"51","Wisconsin",-2,-4.3,-6.6,-1.3,-8,-2.3
"52","Wyoming",-4.1,-6.2,NA,-6.8,NA,-15.9
