"","Race","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","North.Carolina","North.Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West.Virginia","Wisconsin","Wyoming"
"1","Total","86.9","94","87.7","87.3","84.1","92.5","90.9","90.4","88.4","87.9","92.3","91.9","89.9","89.6","92.9","91.6","87.2","86","93.1","90.5","91.4","91.4","93.5","85.1","90.6","94.2","92.2","86.9","93.5","90.4","86.1","87.6","88.6","93.4","90.9","88.3","91.3","91.1","89.5","88.3","92.3","88","84.7","93.1","93.2","90.3","91.7","87","92.7","94.5"
"2","White","88.9","96.3","94.6","89.6","95.4","96.9","94.8","93.2","93.2","91.1","97.1","94.4","94.7","91.3","94.9","95.1","87.7","88.8","93.5","94.2","94.7","92.8","95.9","88.4","91.5","94.8","95.7","94.3","94","94.9","94.4","93.8","92.3","94.6","92.1","91.5","94.4","93.1","92.2","91.4","94.4","89.5","94.4","96.2","93.8","93.2","95","86.8","94.7","95.8"
"3","Black","84.6","97.7","91.4","87.4","90.7","93.1","86.7","90.2","84.7","88","99.3","98.3","86.5","87.3","81.4","87.9","88.1","82.2","77","90.5","87.2","88.1","82.3","80.6","87.8","0","87.6","89.9","86.2","89.2","91.4","86","86.2","96.5","86.7","89","90.2","88.5","92.5","83.8","78.4","87.5","91.4","89.1","0","86.7","90","92.1","85.6","0"
"4","Hispanic","62.5","90.2","71.3","57.2","66.4","74.9","74.2","62.4","79.5","63.9","90.7","71","71.9","70.8","67.2","67.2","69.8","74.4","92.9","67.7","73.7","76.2","72","67.8","79.2","84.1","63.2","67.1","81.3","75.6","78.3","72.5","62.4","80.8","78.1","63.3","68.7","72.8","72.8","66.2","75.3","61.8","68.3","74.3","89.6","73.9","70","88.9","72.8","79.3"
"5","Asian ","87.2","93.7","89.4","89.1","88.8","90.2","91.5","96","87.4","87.1","89.1","91.2","90.3","85.2","78.4","82.4","86.5","82.1","82.8","89.2","86.6","90.6","83.2","82.7","90.1","98.4","80.3","90.6","92.6","92.6","89.8","80","87.6","77.7","87.1","81.5","87.2","84.2","89.4","86.8","67.9","86.9","89.5","90.9","78.2","90.5","88.5","87.7","84.6","0"
"6","Two or More Races","88.3","94.8","92.8","88.1","93.6","95.8","89.8","92.3","89.8","91.7","95.8","95.7","90.9","89.2","94.9","90.2","88.1","88.4","85","93.5","94.2","89","95.6","87.9","91.6","97.8","93.5","91.7","90.5","90.6","93.3","88","90.6","93","88.1","89.5","93.4","90.2","88.4","90.3","91.8","87.9","93.3","94.3","91","93.5","93.4","87.7","94.7","97.9"
"7","mTotal","0.04","0.25","0.46","0.23","0.29","0.09","0.18","0.2","0.51","0.6","0.13","0.16","0.39","0.32","0.15","0.22","0.25","0.3","0.26","0.25","0.32","0.2","0.2","0.15","0.18","0.31","0.2","0.38","0.31","0.33","0.33","0.15","0.4","0.13","0.17","0.5","0.14","0.26","0.23","0.14","0.54","0.23","0.58","0.21","0.11","0.25","0.51","0.18","0.19","0.4"
"8","mWhite","0.03","0.3","0.54","0.18","0.3","0.07","0.13","0.19","0.58","0.19","0.11","0.19","0.4","0.3","0.11","0.22","0.2","0.22","0.26","0.28","0.32","0.17","0.16","0.14","0.13","0.4","0.22","0.41","0.25","0.3","0.38","0.13","0.37","0.11","0.16","0.44","0.14","0.25","0.2","0.13","0.49","0.26","0.48","0.24","0.1","0.21","0.47","0.2","0.14","0.43"
"9","mBlack","0.1","0.53","1.77","0.92","0.94","0.33","0.91","0.97","1.21","1.2","0.37","0.28","0.63","1.8","0.46","0.87","2.61","1.64","0.99","0.53","6.25","0.38","0.78","0.58","1.46","0.66","0.64",NA,"2.68","0.82","4.48","0.43","2.12","0.4","0.44","2.21","0.45","1.12","2.09","0.62","1.62","0.53","8.3","0.59","0.23","4.7",NA,"0.46","1.23","1.86"
"10","mHisp","0.15","2.28","1.91","0.76","2.32","0.26","0.77","1.08","3.88","2.8","0.36","1.13","1.84","2.03","0.77","1.52","2.82","1.79","2.61","1.96","2.2","1.54","0.92","1.59","2.23","2.99","1.57","4.14","2.51","1.14","2.37","0.65","0.79","0.55","0.98","5.2","1.38","1.57","1.44","1.03","2.65","1.9","6.28","1.6","0.29","1.39","5.74","1.19","1.08","3.74"
"11","mAsian","0.12","1.85","2.26","1.11","2.16","0.19","1","1.41","1.45","1.49","0.79","0.73","0.71","2.83","0.6","1.97","3.4","2.59","2.23","2.23","5.89","0.82","1","1.02","1.41","3.06","1.46","1.91","2.89","0.85","2.59","0.44","2.74","0.48","0.93","11.31","1.11","2.37","1.31","1.13","2.25","2.02","8.38","2.02","0.48","1.7","9.28","0.62","0.67","4.74"
"12","mTwo","0.18","2.24","2.06","1.48","2.55","0.35","1.07","2.04","4.04","1.99","0.99","1.57","0.7","1.71","1.23","1.86","2.65","1.72","2.11","2.18","4.59","1.2","1.08","1.25","1.12","3.2","1.65","1.24","3.1","1.59","3.34","1.62","2.61","0.99","1.61","6.01","1.4","1.17","1.16","1.65","3.44","2.46","7.21","1.73","0.79","1.7","5.42","1.08","0.86","3.85"
