"","State","Total","mTotal","White","mWhite","Black","mBlack","Hispanic","mHisp","Asian","mAsian","Two.or.more.races","mTwo"
"1","   United States ",88.6,0.04,93.3,0.03,87.3,0.1,70.5,0.15,87.9,0.12,91.9,0.18
"2","Alabama ",86.9,0.25,88.9,0.3,84.6,0.53,62.5,2.28,87.2,1.85,88.3,2.24
"3","Alaska ",94,0.46,96.3,0.54,97.7,1.77,90.2,1.91,93.7,2.26,94.8,2.06
"4","Arizona ",87.7,0.23,94.6,0.18,91.4,0.92,71.3,0.76,89.4,1.11,92.8,1.48
"5","Arkansas ",87.3,0.29,89.6,0.3,87.4,0.94,57.2,2.32,89.1,2.16,88.1,2.55
"6","California ",84.1,0.09,95.4,0.07,90.7,0.33,66.4,0.26,88.8,0.19,93.6,0.35
"7","Colorado ",92.5,0.18,96.9,0.13,93.1,0.91,74.9,0.77,90.2,1,95.8,1.07
"8","Connecticut ",90.9,0.2,94.8,0.19,86.7,0.97,74.2,1.08,91.5,1.41,89.8,2.04
"9","Delaware ",90.4,0.51,93.2,0.58,90.2,1.21,62.4,3.88,96,1.45,92.3,4.04
"10","District of Columbia ",91.8,0.6,99.4,0.19,86.3,1.2,81.8,2.8,96.1,1.49,97,1.99
"11","Florida ",88.4,0.13,93.2,0.11,84.7,0.37,79.5,0.36,87.4,0.79,89.8,0.99
"12","Georgia ",87.9,0.16,91.1,0.19,88,0.28,63.9,1.13,87.1,0.73,91.7,1.57
"13","Hawaii ",92.3,0.39,97.1,0.4,99.3,0.63,90.7,1.84,89.1,0.71,95.8,0.7
"14","Idaho ",91.9,0.32,94.4,0.3,98.3,1.8,71,2.03,91.2,2.83,95.7,1.71
"15","Illinois ",89.9,0.15,94.7,0.11,86.5,0.46,71.9,0.77,90.3,0.6,90.9,1.23
"16","Indiana ",89.6,0.22,91.3,0.22,87.3,0.87,70.8,1.52,85.2,1.97,89.2,1.86
"17","Iowa ",92.9,0.25,94.9,0.2,81.4,2.61,67.2,2.82,78.4,3.4,94.9,2.65
"18","Kansas ",91.6,0.3,95.1,0.22,87.9,1.64,67.2,1.79,82.4,2.59,90.2,1.72
"19","Kentucky ",87.2,0.26,87.7,0.26,88.1,0.99,69.8,2.61,86.5,2.23,88.1,2.11
